@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 numeric

@data
100,'2015/06/01 08:11:16:784',1,111,0
99,'2015/06/01 08:11:16:767',1,111,0
98,'2015/06/01 08:11:16:750',1,111,0
97,'2015/06/01 08:11:16:734',1,111,0
96,'2015/06/01 08:11:16:718',1,111,0
95,'2015/06/01 08:11:16:700',1,111,0
94,'2015/06/01 08:11:16:683',1,111,0
93,'2015/06/01 08:11:16:667',1,111,0
92,'2015/06/01 08:11:16:656',1,111,0
91,'2015/06/01 08:11:16:633',1,111,0
90,'2015/06/01 08:11:16:617',1,111,0
89,'2015/06/01 08:11:16:600',1,111,0
88,'2015/06/01 08:11:16:584',1,111,0
87,'2015/06/01 08:11:16:567',1,111,0
86,'2015/06/01 08:11:16:550',1,111,0
85,'2015/06/01 08:11:16:534',1,111,0
84,'2015/06/01 08:11:16:517',1,111,0
83,'2015/06/01 08:11:16:499',1,111,0
82,'2015/06/01 08:11:16:484',1,111,0
81,'2015/06/01 08:11:16:467',1,111,0
80,'2015/06/01 08:11:16:450',1,111,0
79,'2015/06/01 08:11:16:434',1,111,0
78,'2015/06/01 08:11:16:416',1,111,0
77,'2015/06/01 08:11:16:401',1,111,0
76,'2015/06/01 08:11:16:383',1,111,0
75,'2015/06/01 08:11:16:367',1,111,0
74,'2015/06/01 08:11:16:350',1,111,0
73,'2015/06/01 08:11:16:333',1,111,0
72,'2015/06/01 08:11:16:317',1,111,0
71,'2015/06/01 08:11:16:301',1,111,0
70,'2015/06/01 08:11:16:284',1,111,0
69,'2015/06/01 08:11:16:267',1,111,0
68,'2015/06/01 08:11:16:250',1,111,0
67,'2015/06/01 08:11:16:233',1,111,0
66,'2015/06/01 08:11:16:217',1,111,0
65,'2015/06/01 08:11:16:201',1,111,0
64,'2015/06/01 08:11:16:184',1,111,0
63,'2015/06/01 08:11:16:166',1,111,0
62,'2015/06/01 08:11:16:151',1,111,0
61,'2015/06/01 08:11:16:133',1,111,0
60,'2015/06/01 08:11:16:117',1,111,0
59,'2015/06/01 08:11:16:100',1,111,0
58,'2015/06/01 08:11:16:084',1,111,0
57,'2015/06/01 08:11:16:067',1,111,0
56,'2015/06/01 08:11:16:051',1,111,0
55,'2015/06/01 08:11:16:033',1,111,0
54,'2015/06/01 08:11:16:018',1,111,0
53,'2015/06/01 08:11:16:000',1,111,0
52,'2015/06/01 08:11:15:983',1,111,0
51,'2015/06/01 08:11:15:967',1,111,0
50,'2015/06/01 08:11:15:952',1,111,0
49,'2015/06/01 08:11:15:933',1,111,0
48,'2015/06/01 08:11:15:917',1,111,0
47,'2015/06/01 08:11:15:901',1,111,0
46,'2015/06/01 08:11:15:884',1,111,0
45,'2015/06/01 08:11:15:867',1,111,0
44,'2015/06/01 08:11:15:850',1,111,0
43,'2015/06/01 08:11:15:833',1,111,0
42,'2015/06/01 08:11:15:817',1,111,0
41,'2015/06/01 08:11:15:800',1,111,0
40,'2015/06/01 08:11:15:783',1,111,0
39,'2015/06/01 08:11:15:768',1,111,0
38,'2015/06/01 08:11:15:751',1,111,0
37,'2015/06/01 08:11:15:734',1,111,0
36,'2015/06/01 08:11:15:717',1,111,0
35,'2015/06/01 08:11:15:700',1,111,0
34,'2015/06/01 08:11:15:683',1,111,0
33,'2015/06/01 08:11:15:668',1,111,0
32,'2015/06/01 08:11:15:650',1,111,0
31,'2015/06/01 08:11:15:634',1,111,0
30,'2015/06/01 08:11:15:617',1,111,0
29,'2015/06/01 08:11:15:600',1,111,0
28,'2015/06/01 08:11:15:584',1,111,0
27,'2015/06/01 08:11:15:567',1,111,0
26,'2015/06/01 08:11:15:550',1,111,0
25,'2015/06/01 08:11:15:534',1,111,0
24,'2015/06/01 08:11:15:516',1,111,0
23,'2015/06/01 08:11:15:500',1,111,0
22,'2015/06/01 08:11:15:483',1,111,0
21,'2015/06/01 08:11:15:467',1,111,0
20,'2015/06/01 08:11:15:451',1,111,0
19,'2015/06/01 08:11:15:434',1,111,0
18,'2015/06/01 08:11:15:417',1,111,0
17,'2015/06/01 08:11:15:407',1,111,0
16,'2015/06/01 08:11:15:383',1,111,0
15,'2015/06/01 08:11:15:367',1,111,0
14,'2015/06/01 08:11:15:349',1,111,0
13,'2015/06/01 08:11:15:333',1,111,0
12,'2015/06/01 08:11:15:316',1,111,0
11,'2015/06/01 08:11:15:300',1,111,0
10,'2015/06/01 08:11:15:284',1,111,0
9,'2015/06/01 08:11:15:267',1,111,0
8,'2015/06/01 08:11:15:251',1,111,0
7,'2015/06/01 08:11:15:233',1,111,0
6,'2015/06/01 08:11:15:216',1,111,0
5,'2015/06/01 08:11:15:200',1,111,0
4,'2015/06/01 08:11:15:184',1,111,0
3,'2015/06/01 08:11:15:167',1,111,0
2,'2015/06/01 08:11:15:150',1,111,0
1,'2015/06/01 08:11:15:134',1,111,0
